word,count,doc_freq,weighted_count
future,83514,46241,47644724.0
quality,75799,38082,47617484.0
visit,85074,55074,47358489.0
result,88758,41081,47320874.0
drug,99105,34814,47156195.0
long,85042,52537,47122745.0
significant,77109,44220,47059382.0
solution,82801,35690,46952648.0
management,73690,28717,46926375.0
response,72779,37462,46904045.0
university,81252,35211,46340028.0
related,73869,43293,45927364.0
take,86501,55356,45919806.0
que,83618,6078,45909775.0
policy,70039,34325,45735643.0
week,86339,45799,45441554.0
medium,81863,50437,44766818.0
measles,77783,11874,44612395.0
healthy,75056,33818,44471213.0
clinical,92899,33091,44368032.0
woman,76577,25869,44365613.0
month,79966,44343,43963082.0
number,79041,45596,43938875.0
community health,55991,21943,43647487.0
plan,76361,42733,43174519.0
key,71797,43227,42895858.0
role,67240,40357,42881288.0
official,68678,38356,42623281.0
technology,79213,30976,42068710.0
science,76560,35882,42002429.0
provide,70308,45873,41650980.0
health care,66071,27687,41638323.0
age,70434,32187,41582150.0
free,71380,38193,40930311.0
resource,68249,38986,40799847.0
team,71381,40511,40740250.0
safety,77494,35312,40692516.0
analysis,66786,24211,40651586.0
last,75226,47287,40588272.0
improve,67163,40873,40351601.0
event,72017,34994,40180811.0
cost,68231,33852,39893771.0
trump,74881,22084,39797929.0
source,75172,56292,39777997.0
even,77879,48479,39763881.0
around,77347,51420,39752037.0
region,60914,29525,39696404.0
death,73798,34035,39428844.0
international,65723,33384,39426033.0
since,68344,47421,39173745.0
outcome,61119,32016,39034452.0
better,67486,44456,38878449.0
reported,61594,30907,38871227.0
strategy,61614,33622,38859031.0
expert,68604,41845,38830619.0
approach,60707,34907,38804216.0
used,65616,35871,38764795.0
adult,68667,30895,38644439.0
lead,73119,40543,38621887.0
statement,86566,24544,38122009.0
business,67894,30734,37957728.0
aid,55270,17477,37956665.0
address,62011,40777,37838993.0
education,62363,30613,37790873.0
emergency,57662,27540,37543528.0
important,68519,46195,37528076.0
see,79211,46444,37371001.0
effective,61553,39557,37282995.0
home,74020,37375,37271968.0
health organization,58866,41018,37202311.0
using,63575,33942,37183151.0
funding,56052,26275,37111438.0
every,68582,45779,37074811.0
united state,59767,38725,36924927.0
potential,70702,39214,36893481.0
condition,68717,37865,36878665.0
association,62564,26166,36869017.0
increase,61730,35961,36733472.0
release,77806,50015,36724755.0
testing,59227,22316,36514362.0
http www,73012,42321,36351580.0
going,88092,38015,36333929.0
factor,64925,29671,36251721.0
three,59489,37827,36132492.0
provider,59541,30678,35919407.0
worker,52904,21700,35849362.0
within,61300,40194,35846179.0
growth,57406,18469,35837773.0
available,67090,42613,35768281.0
practice,57750,31634,35688298.0
come,70857,46838,35638378.0
per,54775,25299,35550350.0
leader,61892,37486,35364402.0
model,51500,20747,35331443.0
include,61015,43342,35304905.0
campaign,55354,22870,35269459.0
action,61746,32393,35240743.0
activity,56812,25256,35219575.0
federal,57623,28299,35155206.0
content,66441,46462,34960263.0
experience,59391,36188,34893205.0
term,61685,38367,34887000.0
made,60874,42861,34789150.0
nation,58355,36196,34728382.0
benefit,58757,33552,34565670.0
professional,56824,30951,34561497.0
los,57384,10925,34536865.0
industry,61136,29927,34419867.0
low,60109,33785,34416776.0
early,60676,35330,34342874.0
flu,55779,13277,34286338.0
cause,66141,42819,34263968.0
critical,58349,39245,34188711.0
canada,47391,11997,33978253.0
found,61894,36561,33769105.0
think,73158,31746,33486763.0
india,41420,12635,33341107.0
working,57158,39588,33307649.0
offer,55786,36902,33274510.0
good,70221,40951,33257534.0
test,59822,21608,33002853.0
leading,60663,40738,32974898.0
administration,60816,33969,32969315.0
without,53825,37996,32952084.0
fluoride,49049,4919,32610181.0
spread,52794,28444,32203249.0
researcher,54732,25145,32010361.0
partner,56265,30898,31901907.0
prevent,52752,34744,31780565.0
org,60686,29726,31667580.0
next,59685,39983,31655284.0
america,57558,28984,31654643.0
associated,52218,29100,31446052.0
foundation,60254,21936,31349415.0
focus,52762,36556,31302648.0
general,50926,31205,31179791.0
commitment,46892,31264,31058721.0
article,43916,21614,31039918.0
project,52007,24518,30809757.0
want,63881,36838,30750460.0
making,54583,40726,30697717.0
show,59561,37680,30610450.0
institute,54422,26180,30604275.0
person,53366,31739,30559482.0
ensure,47351,31999,30556845.0
press,52036,28190,30344410.0
non,53344,29182,30085116.0
back,67233,39640,30079817.0
decision,47024,28824,30058237.0
chronic,51196,24479,29918444.0
opportunity,49435,32106,29880390.0
thing,65930,33530,29733923.0
collaboration,44059,25107,29416863.0
much,58944,38041,29103464.0
kennedy,50817,12631,29001879.0
higher,49062,25882,28913814.0
mean,57700,33440,28814391.0
concern,50048,32972,28786529.0
infectious,52810,26807,28785274.0
symptom,49653,22290,28759680.0
measure,46531,25908,28694736.0
still,57201,37242,28648129.0
tool,48299,27542,28618601.0
forward,71737,27767,28566241.0
however,44447,28174,28290271.0
really,63217,28975,28212082.0
heart,52252,22063,28182608.0
effect,51991,27196,28072982.0
recent,46534,34948,28051236.0
best,52785,36143,27975672.0
safe,50550,31324,27964687.0
mental,42320,19195,27932331.0
process,45138,28086,27744333.0
body,50084,26511,27718467.0
billion,46089,21157,27656074.0
different,48646,29315,27556979.0
place,51300,36368,27392107.0
due,47767,30504,27251028.0
clinic,43302,20064,27147992.0
africa,43002,15422,27143181.0
sample,43211,15513,26968715.0
end,49280,31338,26956407.0
partnership,42508,23409,26768503.0
intervention,40233,19609,26644762.0
essential,41642,27090,26611053.0
south,45302,22605,26605559.0
common,40861,24455,26589474.0
often,45144,30125,26579748.0
continue,48456,37018,26562701.0
provides,43923,32260,26541936.0
reduce,44529,30305,26479703.0
protect,47200,30928,26473855.0
network,47809,22844,26392631.0
looking,71251,27740,26187945.0
providing,45937,34025,26178095.0
increased,43361,26352,26080304.0
point,47274,29133,26008638.0
together,44986,30735,26003977.0
animal,45235,15824,25999624.0
participant,40797,13832,25988125.0
awareness,40664,22014,25873466.0
five,41982,29008,25833881.0
comprehensive,40796,26170,25828462.0
minister,31615,11184,25821480.0
evidence,44599,27308,25763732.0
goal,41915,29916,25722660.0
type,45257,23451,25683265.0
blood,52733,18164,25652729.0
environmental,42463,20204,25569153.0
step,44098,29920,25374892.0
several,42965,32286,25345618.0
share,42621,26357,25339614.0
platform,45545,22022,25320307.0
value,39816,20090,25239407.0
standard,42976,23451,25230887.0
doctor,47523,25601,25164595.0
infectious disease,46391,24050,25024650.0
email,37264,25180,24855171.0
view,53909,43238,24539798.0
trend,39135,18609,24524017.0
cancer,41518,18866,24482003.0
call,48858,32075,24452053.0
facility,39071,19504,24435984.0
dental,40884,6831,24427125.0
current,43951,30614,24404880.0
lower,40938,23018,24366323.0
inc,50519,18281,24348920.0
author,36459,19982,24331420.0
illness,41400,24099,24299264.0
primary,40811,21008,24255662.0
especially,42689,31898,24195768.0
innovation,43122,23793,24165359.0
health system,36012,17023,24103681.0
finding,41163,23855,24045676.0
award,42362,12997,23968462.0
improving,36673,25899,23870824.0
agreement,30539,12086,23858879.0
nutrition,40262,14025,23792426.0
set,40842,30446,23762099.0
full,40323,30615,23747303.0
insight,42560,20971,23740076.0
look,54380,35832,23728769.0
fda,60953,16484,23570945.0
particularly,37386,26324,23556844.0
resident,36693,19493,23345603.0
published,37998,28669,23328443.0
mission,41881,27576,23262949.0
problem,43434,27914,23213460.0
environment,38399,22935,23164757.0
live,47404,30267,23133117.0
office,42472,27456,23104512.0
mosquito,44201,6338,23092613.0
major,40376,29310,22949741.0
physical,34984,15826,22944010.0
post,38054,23098,22942382.0
story,42035,27121,22814451.0
top,42681,28053,22778300.0
growing,41016,27116,22770565.0
positive,36987,21004,22674987.0
lot,50979,27172,22650311.0
chief,39569,26038,22606029.0
building,36570,23232,22590219.0
influenza,38524,9399,22586225.0
york,43146,22976,22533889.0
diabetes,38778,14152,22450847.0
added,33636,24789,22400210.0
tobacco,38860,9863,22322631.0
student,38906,14300,22211261.0
global health,33145,16958,22208362.0
announced,41947,30910,22157109.0
aim,33765,24130,22104394.0
living,37160,22347,22052252.0
meeting,34900,18922,22002893.0
malaria,31391,5483,21996071.0
threat,40705,23667,21993469.0
new york,42035,22387,21936395.0
digital,35006,15427,21932486.0
wellness,34330,12207,21881887.0
provided,32280,24907,21765542.0
known,39821,30211,21732274.0
importance,33023,23882,21732195.0
therapy,49438,17313,21703259.0
del,34044,6292,21619296.0
following,36447,27000,21614282.0
immunization,29166,10921,21557719.0
review,35471,16801,21521365.0
must,33737,21836,21497970.0
another,41306,30863,21400175.0
ensuring,31693,22920,21370411.0
bird,35033,7767,21362641.0
drinking,35074,12213,21307716.0
period,35236,19233,21305811.0
north,39454,21136,21275309.0
board,35076,16865,21220254.0
real,38722,23903,21191186.0
investment,32461,17836,21147642.0
learn,42578,31684,21083515.0
specific,34357,21652,21059470.0
crisis,37293,21240,21048036.0
various,32992,22988,21041855.0
less,37685,25306,21036458.0
screening,34267,12420,21035487.0
four,35123,24143,21022664.0
california,37595,15272,20993037.0
mental health,30885,14555,20986377.0
scientific,37948,21743,20942009.0
additional,37776,28348,20679998.0
play,37149,25498,20633858.0
second,38481,25713,20627857.0
april,36660,21819,20572951.0
disease control,32172,26843,20549005.0
march,35614,21542,20536917.0
decade,35853,27706,20524504.0
question,37755,23734,20447423.0
diet,33531,11403,20445261.0
method,31056,13811,20404555.0
protection,34450,21385,20386051.0
para,32556,5319,20302741.0
exposure,36462,17445,20291416.0
young,38469,20816,20263517.0
annual,33451,22190,20149477.0
air,38690,17112,20144485.0
physician,37673,18543,20114827.0
leadership,31194,17802,20096612.0
executive,34732,23824,20071268.0
possible,34733,27024,20001953.0
nearly,37002,27837,19974332.0
find,40051,29209,19958929.0
supply,37255,22077,19907658.0
overall,33379,21939,19901446.0
mpox,37565,5165,19880502.0
start,40706,28114,19877729.0
led,34937,26848,19722051.0
fund,34054,17654,19685240.0
past,34640,26769,19651951.0
house,37934,20624,19602399.0
addressing,31104,22679,19539827.0
hour,40372,25593,19483046.0
reach,33065,23043,19357292.0
keep,36871,26790,19315173.0
multiple,35252,22763,19293036.0
crucial,31040,21542,19239436.0
washington,38713,23564,19192398.0
called,35273,27179,19190580.0
kind,37447,24770,19077045.0
officer,36044,22740,19038188.0
law,38666,21423,19036786.0
understanding,32432,20826,18917119.0
committee,31873,14525,18865912.0
expected,33286,21049,18862800.0
includes,33153,26879,18858504.0
whether,34127,24693,18832939.0
sector,28480,16857,18815610.0
total,30740,17913,18781375.0
population health,24857,8944,18764897.0
surveillance,26778,12591,18754723.0
security,40616,22509,18752857.0
survey,29197,12394,18686098.0
china,33217,11626,18676309.0
polio,26993,7030,18659930.0
line,35386,20975,18556915.0
already,32756,25335,18546033.0
needed,29655,23365,18513959.0
become,32993,26062,18510592.0
increasing,30255,20443,18503685.0
financial,29819,17187,18411742.0
least,32959,24058,18347326.0
nurse,27154,9520,18308172.0
progress,28386,18714,18298554.0
june,33370,19440,18293487.0
might,34780,22886,18211037.0
ability,32250,22320,18209322.0
likely,31963,21723,18208869.0
compared,31763,17729,18204602.0
insurance,31126,12649,18190223.0
range,31099,22935,18170395.0
trial,42069,15335,18134255.0
center disease,29064,24883,18087964.0
others,32489,24626,18068172.0
cell,36958,11712,18060553.0
knowledge,27688,17640,18014904.0
face,31063,22368,17922031.0
addition,29796,23636,17903548.0
severe,34770,20726,17893888.0
focused,32728,25006,17872713.0
developing,33684,23343,17731821.0
regional,26094,15111,17728008.0
received,30753,21493,17694127.0
innovative,33015,22413,17659093.0
control prevention,27538,23409,17635752.0
significantly,29416,19338,17589493.0
secretary,29201,16489,17581961.0
coverage,26953,15475,17574999.0
limited,32146,21470,17515147.0
told,29245,19347,17505285.0
delivery,27990,15257,17488333.0
please,33209,25607,17454856.0
infected,28762,14318,17450521.0
lifestyle,26965,11364,17433996.0
ceo,33501,24323,17393799.0
equity,28272,13751,17376689.0
cut,29867,14209,17360893.0
online,31574,18442,17344483.0
drive,27660,19454,17336293.0
enhance,27325,20007,17321385.0
old,33994,22693,17294743.0
field,30302,18460,17286003.0
open,31861,21454,17283592.0
laboratory,31417,12819,17262235.0
texas,35574,12463,17227246.0
worldwide,30577,21945,17205961.0
senior,29284,19100,17196681.0
develop,30590,22374,17144490.0
health department,24556,11959,17100134.0
weight,29699,9796,17089715.0
communication,29239,18306,17086324.0
great,34059,23027,17074313.0
website,31866,22787,17067886.0
drinking water,26998,8408,17040407.0
income,26871,14598,16980597.0
recommendation,25100,14342,16961513.0
included,25901,16283,16920212.0
economic,28223,17875,16851133.0
staff,26508,16798,16838911.0
infrastructure,25767,14896,16829501.0
training,26884,15635,16823851.0
authority,27611,18467,16822722.0
hand,30077,16748,16708349.0
committed,28409,23482,16702778.0
example,26691,18371,16683416.0
act,31235,20227,16658796.0
grant,27376,12525,16653593.0
getting,34104,24021,16622546.0
site,28366,17742,16617392.0
confirmed,26399,16802,16573600.0
big,35248,22631,16548280.0
health official,26192,16905,16547257.0
designed,31435,22890,16542076.0
order,27807,17728,16530695.0
follow,31385,24310,16523236.0
newswire,47772,34501,16506390.0
taking,31006,24374,16506203.0
advanced,28378,18608,16477832.0
strong,26940,20600,16477094.0
private,30131,19953,16450478.0
priority,27069,16494,16443019.0
remains,25879,20949,16437394.0
preparedness,23696,11143,16388974.0
dedicated,29056,22737,16346326.0
able,31042,22226,16334054.0
latest,30511,23830,16299450.0
date,32676,20895,16250588.0
assessment,24620,12609,16216595.0
climate,29212,10295,16209549.0
large,27421,20362,16179746.0
original,38628,34861,16134550.0
health center,22905,7592,16133507.0
reducing,27497,20366,16129364.0
consumer,33534,15066,16090844.0
target,26898,17076,16041866.0
receive,28007,21250,15998427.0
table,24268,8964,15996594.0
older,28022,13654,15991015.0
vision,26119,12781,15963942.0
meet,27493,21267,15961595.0
read,25655,17758,15961372.0
bill,30056,13324,15960650.0
small,30413,20583,15953909.0
talk,31642,19225,15950170.0
obesity,29315,9755,15936019.0
daily,28274,16878,15923654.0
district,25324,12296,15886822.0
long term,27611,19590,15865531.0
infant,27336,8824,15855361.0
con,26698,5451,15847442.0
epidemic,25161,14685,15839915.0
chronic disease,23492,13934,15829064.0
prevalence,26430,10538,15799145.0
transmission,25086,12523,15778614.0
record,27885,17173,15738471.0
covid pandemic,21535,16789,15720423.0
percent,23290,9925,15691633.0
january,23114,16447,15674587.0
reduction,25902,13504,15673002.0
healthier,25502,17322,15648391.0
option,30321,19751,15644436.0
parent,28899,14724,15634484.0
present,27204,19424,15634480.0
driven,24519,16695,15598223.0
respiratory,25762,11472,15579458.0
health service,21600,14431,15562061.0
given,25952,19765,15553046.0
ongoing,26933,20872,15540776.0
currently,28759,22526,15510749.0
highlight,26798,20661,15481633.0
gaza,28180,5035,15458207.0
create,27427,21548,15454923.0
advance,27603,19322,15349354.0
got,37042,21988,15344159.0
self,26759,10736,15314442.0
ministry,20041,10133,15273896.0
monitoring,23275,14169,15250681.0
mortality,25987,11300,15221386.0
smoking,26728,7901,15187818.0
kid,31138,15412,15168299.0
society,27352,16820,15118826.0
far,27751,21854,15113012.0
let,33913,22444,15111065.0
salud,21990,4337,15108851.0
loss,28410,14169,15074154.0
size,23396,11514,15040327.0
offering,25576,19573,15035689.0
throughout,25860,20646,15031953.0
social medium,21048,15630,14993342.0
give,29733,22604,14968494.0
developed,26167,18664,14962128.0
europe,24259,12348,14960132.0
promote,22427,17761,14930505.0
july,27692,16562,14901892.0
serve,25297,19090,14893269.0
hope,28393,20160,14885107.0
professor,26823,16773,14849119.0
identified,24530,16955,14825576.0
west,27829,14542,14802130.0
highest,24913,17193,14782453.0
difference,25680,14881,14781421.0
detection,24140,11800,14759157.0
setting,24403,16685,14750519.0
form,26205,18501,14733201.0
demand,25634,15239,14721273.0
greater,23543,16653,14701373.0
scientist,27890,15864,14674079.0
identify,25024,18273,14658568.0
beyond,24953,19863,14658220.0
along,25194,20280,14605756.0
regulation,24662,14069,14605204.0
oral,26951,9344,14582755.0
sign,26566,18906,14573541.0
white,25625,15517,14571206.0
understand,26418,20372,14531853.0
men,25091,10148,14518885.0
despite,23742,18968,14454206.0
seen,26997,21307,14434253.0
trust,21561,12680,14398526.0
job,26446,15710,14378553.0
asia,21141,10412,14368595.0
prnewswire,52855,27207,14357447.0
build,24960,19010,14341227.0
application,24855,13983,14298788.0
six,26495,18571,14297691.0
pressure,27545,13150,14291128.0
recently,24362,20836,14289866.0
little,32761,20717,14277784.0
everyone,26359,20239,14217889.0
department health,24100,17452,14194400.0
central,24295,16593,14191526.0
gap,20591,14040,14191478.0
clean,25057,14519,14188051.0
video,23109,15752,14182380.0
helping,25609,20797,14179821.0
expertise,25900,17579,14167654.0
power,26308,17871,14165123.0
put,28769,22603,14164490.0
supporting,24647,19864,14121743.0
medication,25465,12164,14094723.0
similar,25026,18977,14093048.0
eye,26204,11136,14075916.0
largest,25167,19135,14070284.0
bird flu,22294,5414,14063943.0
advocate,23943,15674,14037002.0
location,25145,16727,14034514.0
status,21340,12654,14014208.0
council,22272,11834,13976627.0
former,26019,16757,13964918.0
health outcome,20552,13724,13955680.0
conducted,21579,13182,13897131.0
robert,26762,16833,13880788.0
diagnosis,24681,12920,13873887.0
programme,14659,6607,13814712.0
history,25554,17675,13808607.0
space,24514,13707,13795744.0
recommended,21597,14837,13775995.0
clear,25773,20552,13773280.0
ani,13317,5722,13736723.0
towards,21406,15107,13718492.0
una,23320,4461,13708965.0
active,23001,14923,13703377.0
morning,39569,18002,13695950.0
intermountain,19364,1765,13690604.0
sustainable,19748,13537,13680469.0
launch,24057,14357,13680310.0
continues,24407,20617,13679930.0
sure,27143,19640,13665742.0
update,28105,20949,13654458.0
viral,23865,10237,13653099.0
material,21757,13360,13647627.0
performance,23503,13026,13603117.0
affected,23695,17192,13592687.0
strategic,22712,14676,13564110.0
regulatory,24990,13961,13538685.0
est,29739,6949,13528831.0
stay,26338,19803,13511677.0
sleep,28713,6530,13480769.0
feel,27272,17564,13453266.0
interest,23100,15465,13447556.0
guideline,22024,11655,13430528.0
highly,23843,18740,13424947.0
season,24822,11359,13411261.0
forward looking,43242,6676,13403919.0
success,21590,15868,13396463.0
coming,31287,23305,13387306.0
rural,19267,9393,13380974.0
average,22885,13623,13345997.0
fact,28397,20743,13340216.0
shared,20238,15224,13321025.0
half,26247,19884,13319766.0
capacity,18541,12207,13318710.0
preventive,18845,10955,13281789.0
something,28836,18963,13280329.0
press release,26501,14778,13272060.0
scale,21861,14459,13245870.0
dose,26194,10582,13244444.0
head,26819,19390,13235721.0
close,23918,18939,13170135.0
fight,23447,16695,13136899.0
disorder,27847,12494,13108047.0
fever,21831,11360,13094980.0
globally,22063,16108,13081476.0
por,22702,4339,13076389.0
rise,21987,15747,13075417.0
mark,23728,17981,13069055.0
promoting,19338,14837,13064997.0
burden,21743,13446,13032584.0
distribution,20520,11411,13022722.0
unique,24152,18647,13017021.0
move,23745,18515,12994177.0
immune,23245,12143,12969078.0
stop,24162,17462,12953836.0
figure,20475,11281,12941815.0
user,23340,11846,12940391.0
rapid,21046,12953,12933349.0
hepatitis,24202,4118,12922012.0
operation,23638,16304,12896781.0
vital,20868,16752,12893521.0
diagnostics,23131,7224,12889949.0
choice,23079,14977,12889787.0
rising,21980,13875,12877651.0
relationship,21177,12372,12871969.0
third,24526,18771,12843630.0
budget,18039,9181,12830912.0
always,25253,18850,12822171.0
emerging,21573,14534,12784422.0
health human,23363,18014,12784086.0
dengue,21239,4203,12768827.0
health worker,16457,7224,12765014.0
link,20532,14320,12733471.0
image,18176,11299,12727928.0
comment,19390,12796,12725821.0
improvement,21092,13512,12716851.0
single,24262,16554,12706357.0
name,24873,17615,12698297.0
discussion,19285,14236,12682022.0
assembly,12251,5957,12679714.0
whole,22851,15326,12655650.0
diagnostic,21763,8632,12631684.0
bring,24826,20470,12621266.0
brain,28419,11170,12585394.0
college,24108,12786,12579313.0
conference,21813,10226,12576005.0
market report,16019,3000,12568514.0
phase,30446,11176,12567651.0
yet,22691,19163,12566241.0
ago,23406,18926,12558026.0
pharmaceutical,25905,11325,12550171.0
coalition,17607,6008,12522569.0
launched,19554,16315,12486880.0
stage,23843,15196,12477901.0
personal,21532,15048,12470239.0
monday,22434,13721,12459077.0
affect,23638,17712,12442344.0
save,23039,15940,12408831.0
middle,21375,14367,12390053.0
health agency,17283,11271,12380150.0
baby,24698,10537,12375668.0
human service,22895,17584,12367049.0
required,22345,17213,12366975.0
preventing,20052,15943,12355523.0
black,26346,10546,12347448.0
sport,25297,15076,12339799.0
device,27361,12714,12329991.0
generation,21391,15192,12303750.0
looking statement,39855,6036,12220411.0
matter,22246,17564,12210275.0
san,22588,10022,12192533.0
employee,22014,10984,12185663.0
join,24691,18205,12125064.0
score,18895,5794,12124462.0
natural,22810,13692,12121194.0
informed,20605,14931,12084984.0
remain,18534,15392,12080696.0
east,20752,12866,12079627.0
institution,19135,12923,12056495.0
substance,19778,10337,12042466.0
last year,21409,16657,12002227.0
money,24076,13668,11995464.0
certain,23264,17364,11983316.0
engagement,18100,11649,11981678.0
pathogen,19088,8745,11956031.0
improved,19364,14797,11954328.0
position,21127,14441,11924133.0
earlier,20629,16633,11918274.0
degree,26047,13719,11897275.0
facebook,18005,14573,11874217.0
estimated,21156,14127,11843562.0
contribution,17531,11899,11837377.0
milk,21243,4867,11828060.0
responsibility,16461,14028,11809117.0
later,23075,18183,11802882.0
alcohol,22445,7422,11766471.0
additionally,18474,13520,11757187.0
hhs,18371,7398,11745168.0
global market,15095,2536,11741718.0
art,20412,10244,11732331.0
approved,22677,15255,11714405.0
forecast,23686,10761,11700288.0
longer,20456,15811,11694641.0
tick,19983,2506,11689274.0
lab,21205,10262,11678199.0
travel,19522,10394,11648789.0
legal,18300,12991,11648160.0
considered,20325,14972,11633699.0
lack,18508,13499,11609120.0
tuesday,19241,13267,11590979.0
mother,20527,9613,11564118.0
december,18462,12783,11562932.0
strengthen,16564,12104,11543842.0
friday,21623,14507,11520233.0
never,23508,17597,11505336.0
advancing,21254,15510,11481687.0
cardiovascular,21259,9628,11479796.0
february,17948,12739,11476341.0
done,21603,17084,11408468.0
session,20351,10278,11403342.0
serious,21995,17343,11387325.0
advancement,17859,12088,11386756.0
detail,22140,17898,11370988.0
left,21947,16284,11368886.0
dietary,18998,7214,11358679.0
complex,20206,14588,11347373.0
design,19860,10835,11347265.0
implementation,16281,9268,11345859.0
google,18494,3601,11344754.0
showed,19568,13210,11336869.0
course,23188,16009,11315899.0
started,21497,16541,11308603.0
continued,18813,15585,11275682.0
strain,20153,9919,11262714.0
approval,22048,12059,11261819.0
florida,23044,9347,11255496.0
vaccinated,20081,10465,11224431.0
journal,19928,12423,11211574.0
centre,16266,8173,11207377.0
reporting,20243,14212,11206305.0
guidance,17431,11876,11171834.0
client,19677,9844,11159539.0
noted,15970,12495,11136549.0
established,20061,15885,11130184.0
approximately,19779,14302,11112277.0
expand,17857,14017,11103772.0
linked,19148,13390,11098555.0
held,19836,15397,11077658.0
year old,22041,14953,11044632.0
linkedin,16732,13502,11025546.0
health emergency,14653,8349,10993620.0
situation,19377,13829,10980647.0
vulnerable,18978,13752,10978399.0
nonprofit,19406,13941,10956833.0
list,20685,13942,10955177.0
youth,18913,7096,10930088.0
function,19593,10454,10926317.0
healthcare provider,17262,10135,10898952.0
therapeutic,25619,10594,10898950.0
via,19402,11907,10896464.0
maternal,19757,6149,10895297.0
thursday,19011,13064,10889569.0
ever,21535,17516,10881176.0
african,17041,8231,10873150.0
behavior,17119,9025,10870490.0
diverse,18013,13738,10863266.0
potentially,20435,15657,10851144.0
copyright,15053,13385,10845572.0
park,20536,9659,10774726.0
though,20209,16215,10774233.0
book,21196,9846,10765508.0
saving,20404,13987,10757934.0
special,19635,14143,10743906.0
toward,18147,14395,10738566.0
caused,19738,15116,10736305.0
exercise,17511,8103,10735251.0
learning,17406,11175,10725874.0
addiction,21519,6705,10721977.0
necessary,16956,13925,10718610.0
million people,18815,13584,10712951.0
request,18866,12740,10702486.0
existing,16782,12891,10701858.0
actually,24891,15729,10696391.0
pain,21590,10590,10675923.0
news release,30010,27266,10663246.0
thank,25152,16965,10660212.0
birth,17956,7010,10636254.0
political,17197,11395,10633460.0
anti,19921,10646,10617747.0
intake,15936,4464,10607991.0
aged,16385,9189,10591712.0
wednesday,17893,12533,10589682.0
check,21510,15147,10580962.0
previous,18308,13272,10570389.0
urban,16372,6562,10560529.0
