value,kind,dimension,credit,credit_share,rating,rating_pct,color,marker,node_size
ABC Action News,item,publication_name,0.000617317147928,0.000617317147928,5,0.0018544730905848,#8c564b,o,80.0
ABC Action News,item,publisher_name,0.000620795582505,0.000620795582505,5,0.0018748918065859,#e377c2,o,80.0
ABC Montana,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
ABC Montana,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
ABC News,item,author_name,1.107499501671584e-06,1.107499501671584e-06,2,0.0783074153012124,#1f77b4,o,80.0
ABC News,item,publication_name,0.0004673147021978,0.0004673147021978,5,0.0009544683359269,#8c564b,o,80.0
ABC News,item,publisher_name,0.000519155832751,0.000519155832751,5,0.001275424458081,#e377c2,o,80.0
ABC News 4,item,publication_name,0.0005038170965737,0.0005038170965737,5,0.0011734802882635,#8c564b,o,80.0
ABC News 4,item,publisher_name,0.0005075047605548,0.0005075047605548,5,0.0012067068808179,#e377c2,o,80.0
ABC News Live,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
ABC News Live,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
ABC News(ABC),item,author_name,6.209320623180276e-05,6.209320623180276e-05,4,0.6164198277150706,#1f77b4,o,80.0
ABC News.com,item,publication_name,0.0001854144209999,0.0001854144209999,4,0.3312151058376202,#8c564b,o,80.0
ABC13 (KTRK),item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
ABC13 (KTRK),item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
ABC15,item,publication_name,0.0004506989097547,0.0004506989097547,5,0.0008547746800771,#8c564b,o,80.0
ABC15,item,publisher_name,0.0004495815449288,0.0004495815449288,5,0.0008650779750778,#e377c2,o,80.0
ABC2 News,item,publication_name,0.0003242236928086,0.0003242236928086,5,9.593174225821828e-05,#8c564b,o,80.0
ABC2 News,item,publisher_name,0.0003126776865139,0.0003126776865139,5,5.7624265257645855e-05,#e377c2,o,80.0
ABC25 WPBF.com,item,publication_name,0.000257412585257,0.000257412585257,4,0.7265055067892987,#8c564b,o,80.0
ABC25 WPBF.com,item,publisher_name,0.0002581558430794,0.0002581558430794,4,0.7504101168559283,#e377c2,o,80.0
ABC7 Eyewitness News,item,publication_name,0.0003504840687365,0.0003504840687365,5,0.0002534922612162,#8c564b,o,80.0
ABC7 Eyewitness News,item,publisher_name,0.0003513357644206,0.0003513357644206,5,0.0002856281271039,#e377c2,o,80.0
ABIGAIL KESSLER Sun Staff Reporter,item,author_name,3.0133551201562584e-05,3.0133551201562584e-05,3,0.8727844733455173,#1f77b4,o,80.0
ABNewswire,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
ABNewswire,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
ACCESSWIRE,item,author_name,1.0929644321542174e-05,1.0929644321542174e-05,2,0.9272963999836372,#1f77b4,o,80.0
ACS Publications,item,publication_name,0.0002976264280219,0.0002976264280219,4,0.9472909420067496,#8c564b,o,80.0
ACS Publications,item,publisher_name,0.0002987236007387,0.0002987236007387,4,0.9781574326017798,#e377c2,o,80.0
ADAO – Asbestos Disease Awareness Organization,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
"AEA365 Contributor, Curated by Elizabeth DiLuzio",item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
AFP,item,author_name,0.0005189797085478,0.0005189797085478,5,0.000676292526349,#1f77b4,o,80.0
AFP - Agence France Presse,item,author_name,0.0003398359570419,0.0003398359570419,5,0.0004000996564247,#1f77b4,o,80.0
AFP AFP,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
AFP News,item,author_name,9.143737009096518e-05,9.143737009096518e-05,5,1.7133920592740246e-05,#1f77b4,o,80.0
AFmedios,item,publication_name,4.6273416270398904e-05,4.627341627039893e-05,3,0.1909988907349222,#8c564b,o,80.0
AFmedios,item,publisher_name,4.649500845838756e-05,4.649500845838766e-05,3,0.1904716020618612,#e377c2,o,80.0
AJMC,item,publication_name,0.0003252745849982,0.0003252745849982,5,0.0001022370259001,#8c564b,o,80.0
AJMC,item,publisher_name,0.0001304078804554,0.0001304078804554,4,0.0332332932322471,#e377c2,o,80.0
AJMC -,item,publisher_name,0.0001915950312953,0.0001915950312953,4,0.3767378437905404,#e377c2,o,80.0
AL DÍA News,item,publication_name,8.39028821667953e-05,8.390288216679534e-05,3,0.5775832553961231,#8c564b,o,80.0
AL DÍA News,item,publisher_name,8.416329461661844e-05,8.416329461661862e-05,3,0.5820849679789498,#e377c2,o,80.0
AM 1070 The Answer,item,publication_name,8.916228478198853e-05,8.916228478198857e-05,3,0.6316154551645136,#8c564b,o,80.0
AM 1070 The Answer,item,publisher_name,9.059268579504247e-05,9.059268579504268e-05,3,0.6489272848713021,#e377c2,o,80.0
AM 1230 WTKG,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
AM 1230 WTKG,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
AM 1690 WVON,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
AM 1690 WVON,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
AM 560 The Answer,item,publication_name,0.0001475499950397,0.0001475499950397,4,0.1233286371470173,#8c564b,o,80.0
AM 560 The Answer,item,publisher_name,0.0001474105024167,0.0001474105024167,4,0.1286859811732723,#e377c2,o,80.0
AM 650 WNMT Northern Minnesota Talk,item,publication_name,0.0001081354053554,0.0001081354053554,3,0.8265348245417622,#8c564b,o,80.0
AM 650 WNMT Northern Minnesota Talk,item,publisher_name,0.0001123200915213,0.0001123200915213,3,0.8748133911142756,#e377c2,o,80.0
AM 790 WNIS,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
AM 790 WNIS,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
AM 800 CKLW,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
AM 800 CKLW,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
AM 860,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
AM 860,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
AM 920 The ANSWER,item,publication_name,0.0002213235592688,0.0002213235592688,4,0.528366488940494,#8c564b,o,80.0
AM 920 The ANSWER,item,publisher_name,0.0002216697904098,0.0002216697904098,4,0.5455774852999339,#e377c2,o,80.0
AM 970 The Answer,item,publication_name,0.0003388075332864,0.0003388075332864,5,0.0001834338206894,#8c564b,o,80.0
AM 970 The Answer,item,publisher_name,0.0003381122912896,0.0003381122912896,5,0.0002076365893934,#e377c2,o,80.0
AMANDA SEITZ Associated Press,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
"AMANDA SEITZ, Associated Press",item,author_name,5.760371957843985e-05,5.760371957843985e-05,4,0.5218581922009773,#1f77b4,o,80.0
AMC,item,genre,0.0011537401057714,0.0003032976477535,5,9.920467849047842e-05,#9467bd,o,80.0
AMC,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
AMC,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
ANH-USA,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
AOL,item,publication_name,0.0052755394741051,0.0052755394741051,5,0.0298034989975073,#8c564b,o,80.0
AOL,item,publisher_name,0.0052705188925458,0.0052705188925458,5,0.0292987816793696,#e377c2,o,80.0
AOL.com,item,publication_name,0.0005982332722982,0.0005982332722982,5,0.0017399710988305,#8c564b,o,80.0
AOL.com,item,publisher_name,0.0006025793048334,0.0006025793048334,5,0.0017674528990536,#e377c2,o,80.0
AP,item,author_name,0.0003444375674343,0.0003444375674343,5,0.0004071941376436,#1f77b4,o,80.0
AP News,item,publication_name,0.0028552965210924,0.0028552965210924,5,0.0152822013310838,#8c564b,o,80.0
AP News,item,publisher_name,0.0028661318551014,0.0028661318551014,5,0.0151177990854083,#e377c2,o,80.0
APHL,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
APS Staff,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
ASN Staff,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
ATTPTHD,item,genre,0.0002486470865771,6.536487385881763e-05,2,0.4339105035257635,#9467bd,o,80.0
Aaccesswdun,item,publication_name,0.0001199017550694,0.0001199017550694,3,0.9474158075749748,#8c564b,o,80.0
Aaccesswdun,item,publisher_name,0.0001182955991701,0.0001182955991701,3,0.9369369677899052,#e377c2,o,80.0
Aadil Brar Newsweek,item,author_name,4.039104220659433e-05,4.039104220659433e-05,4,0.1593091861494902,#1f77b4,o,80.0
Aamir Beg,item,author_name,1.5066775600781294e-05,1.5066775600781294e-05,3,0.1556022559419727,#1f77b4,o,80.0
Aaron Bolton,item,author_name,3.902899060427379e-05,3.902899060427379e-05,4,0.1306204212383518,#1f77b4,o,80.0
Aaron Gonsoulin,item,author_name,6.0586563309891495e-05,6.0586563309891495e-05,4,0.584685549426273,#1f77b4,o,80.0
Aaron Pellish,item,author_name,1.723316927216111e-05,1.723316927216111e-05,3,0.258723126536781,#1f77b4,o,80.0
Aaron Rottenberg,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
Aaron Schrank,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
Aaron Specht,item,author_name,6.988567159462426e-06,6.988567159462426e-06,2,0.5866446218078335,#1f77b4,o,80.0
Abby Kousouris,item,author_name,0.0,0.0,1,0.0,#1f77b4,o,80.0
Abby Mackey,item,author_name,5.224518942099475e-05,5.224518942099475e-05,4,0.4089919750222175,#1f77b4,o,80.0
Abc 7,item,publication_name,0.0002265238238839,0.0002265238238839,4,0.556917420842,#8c564b,o,80.0
Abc 7,item,publisher_name,0.000227885197958,0.000227885197958,4,0.5804707716696452,#e377c2,o,80.0
Abc11.com,item,publication_name,0.0005558977342889,0.0005558977342889,5,0.0014859606704412,#8c564b,o,80.0
Abc11.com,item,publisher_name,0.0005541256856104,0.0005541256856104,5,0.0014816753099567,#e377c2,o,80.0
Abc17HD News.com,item,publication_name,0.0003651147406445,0.0003651147406445,5,0.0003412753251322,#8c564b,o,80.0
Abc17HD News.com,item,publisher_name,0.0003668619656323,0.0003668619656323,5,0.0003772010667783,#e377c2,o,80.0
Abc30,item,publication_name,0.0003053397697229,0.0003053397697229,4,0.9896393819305004,#8c564b,o,80.0
Abc30,item,publisher_name,0.0003061756384789,0.0003061756384789,5,1.927543515089499e-05,#e377c2,o,80.0
Abc4,item,publication_name,0.0005581039076964,0.0005581039076964,5,0.0014991975649908,#8c564b,o,80.0
Abc4,item,publisher_name,0.0005600077450855,0.0005600077450855,5,0.0015163674712994,#e377c2,o,80.0
Abc7,item,publication_name,0.0004451411106612,0.0004451411106612,5,0.0008214282530555,#8c564b,o,80.0
Abc7,item,publisher_name,0.0004398496814565,0.0004398496814565,5,0.000807679817311,#e377c2,o,80.0
Abc7 Chicago,item,publication_name,0.0003696866609465,0.0003696866609465,5,0.0003687065446012,#8c564b,o,80.0
Abc7 Chicago,item,publisher_name,0.0003691259676272,0.0003691259676272,5,0.0003905540637716,#e377c2,o,80.0
Abc7amarillo,item,publication_name,5.066265066917146e-05,5.066265066917148e-05,3,0.2360914624995687,#8c564b,o,80.0
Abc7amarillo,item,publisher_name,5.069016973384903e-05,5.069016973384914e-05,3,0.2340860426219478,#e377c2,o,80.0
AbdPost.Com,item,publication_name,0.0,0.0,1,0.0,#8c564b,o,80.0
AbdPost.Com,item,publisher_name,0.0,0.0,1,0.0,#e377c2,o,80.0
Abdel Kareem Hana,item,author_name,1.4335053915413486e-05,1.4335053915413486e-05,3,0.1207721240850192,#1f77b4,o,80.0
Abdul Sattar,item,author_name,1.10703810770583e-06,1.10703810770583e-06,2,0.0782675341549142,#1f77b4,o,80.0
Abdullah Hasrat,item,author_name,6.0867684673509794e-05,6.0867684673509794e-05,4,0.5906067822919028,#1f77b4,o,80.0
Abi Bautista-Alejandre,item,author_name,4.081927294860422e-05,4.081927294860422e-05,4,0.1683289700286863,#1f77b4,o,80.0
