word,count,doc_freq,weighted_count
limited,54458,38112,37134343.0
professor,54350,36216,37072034.0
friday,55749,35532,37041784.0
open,57715,39795,37039421.0
tuesday,50982,34161,37028012.0
officer,58149,37746,37020042.0
cell,58907,20147,36955868.0
district,48548,24819,36905793.0
got,75390,46694,36855752.0
form,53169,36838,36704837.0
former,56239,36539,36694989.0
taking,59672,48166,36660061.0
reach,55071,40303,36636038.0
obesity,53278,16123,36546317.0
little,68679,45763,36536227.0
communication,50810,30841,36411582.0
inc,66053,26120,36390168.0
daily,53435,32779,36373286.0
agreement,44913,19764,36347152.0
building,55672,36555,36313327.0
example,50199,35626,36288308.0
diet,52598,19034,36261221.0
raw,45022,11759,36186556.0
big,67308,44827,36184236.0
importance,49826,36878,36183209.0
nutrition,54136,21973,36098445.0
addition,50227,39501,36064792.0
hhs,43974,16599,35988120.0
job,54861,33099,35916058.0
monday,51126,33268,35883747.0
act,55418,36507,35829119.0
wednesday,49226,33386,35786751.0
includes,54218,44685,35786382.0
financial,49903,29643,35767994.0
figure,44888,25561,35750654.0
therapy,68242,25676,35745131.0
clear,54518,43414,35671966.0
economic,50222,30811,35547526.0
rise,50052,36822,35533840.0
able,57805,43495,35465770.0
thursday,49730,33565,35435820.0
platform,59764,30359,35417600.0
lack,46899,33642,35300228.0
present,49500,34486,35273301.0
physician,54244,29673,35222230.0
highly,49633,38683,35148425.0
vaccinated,49402,25876,35129168.0
board,52385,27698,35128659.0
substance,47277,22270,35069547.0
sick,47970,28882,35062988.0
head,57634,41451,35038485.0
chemical,50706,19523,35025770.0
later,54140,42283,35022929.0
grant,47062,22021,34988699.0
develop,52552,39121,34963192.0
follow,54250,41046,34910772.0
tested,42685,27343,34889503.0
aim,48885,36529,34801074.0
website,55041,38458,34758201.0
difference,47219,27614,34716387.0
worldwide,51580,38200,34639603.0
dos,45903,24048,34596357.0
online,56613,32398,34558195.0
ability,51769,37185,34490774.0
partnership,52097,30458,34489235.0
though,50655,39797,34436270.0
status,43221,25344,34329079.0
history,52163,36393,34277962.0
earlier,47811,38979,34158400.0
pain,52722,24408,34100876.0
consumer,58223,27028,34015995.0
heat,55537,12517,33957521.0
trial,63521,24835,33923802.0
july,51984,31411,33886499.0
affect,50024,37840,33872225.0
range,49705,36793,33863593.0
screening,49389,19652,33862720.0
conducted,41629,25964,33822779.0
recommendation,43764,26298,33793164.0
weight,50144,17574,33791427.0
understanding,50049,32986,33758126.0
mexico,45773,19589,33680150.0
situation,49577,35370,33673016.0
ministry,41680,22228,33671747.0
recommended,44215,31733,33565307.0
insurance,53975,20861,33549507.0
resistance,41343,12614,33548318.0
poultry,40193,13810,33414682.0
move,50896,39609,33378881.0
learn,61446,46755,33299598.0
crucial,47750,34118,33286738.0
although,42713,32269,33240469.0
talk,59660,37938,33085826.0
showed,43167,29517,32970058.0
give,56098,43385,32879668.0
regulation,45945,26389,32863957.0
insight,53670,28306,32850865.0
temperature,58175,22679,32773879.0
progress,45429,31309,32740423.0
senior,48860,33589,32659682.0
exposed,40378,26876,32592842.0
fact,55503,41366,32543346.0
developing,52041,37177,32534657.0
mission,54429,36811,32534384.0
medication,47993,25374,32532260.0
disorder,52029,23055,32518164.0
something,60358,41963,32434553.0
annual,48051,33580,32412144.0
brain,56489,24849,32397678.0
eye,49899,26249,32311063.0
never,52459,39104,32294103.0
monitoring,41531,27174,32280112.0
reduction,45036,24097,32249869.0
left,49810,37070,32242771.0
along,48680,39313,32188633.0
pressure,51285,26897,32188456.0
improving,46226,33836,32187683.0
began,42505,33954,32099817.0
third,48347,37008,32071292.0
receive,47549,35979,32026653.0
antibiotic,41970,11030,32026425.0
average,46188,28121,31959033.0
let,63307,43217,31952898.0
lab,45997,21404,31839559.0
budget,38355,19633,31718360.0
money,51536,29402,31702849.0
considered,43546,32517,31690323.0
coming,63254,47663,31681152.0
noted,38429,29906,31649468.0
europe,43197,23176,31594801.0
anti,44049,23162,31545509.0
african,39096,19669,31469546.0
target,45876,30073,31433642.0
clean,47766,28664,31346686.0
estimated,43528,30247,31262196.0
great,56712,39849,31248912.0
previous,41088,30201,31203608.0
regional,41108,24578,31168091.0
continues,46771,38767,31161263.0
detected,36296,22469,31075367.0
power,48881,31606,31072832.0
addressing,44556,33262,31022590.0
potentially,44627,35229,31007223.0
remain,40270,33467,30982512.0
understand,48600,37714,30982293.0
away,50444,39955,30913409.0
reporting,44901,33505,30906603.0
material,41147,26840,30889948.0
viral,43235,21743,30802359.0
morning,77452,36812,30734664.0
greater,41569,29762,30695930.0
hope,51098,37884,30659703.0
single,46727,32132,30624231.0
focused,48363,38146,30575038.0
digital,46846,23073,30537235.0
sleep,52417,12158,30528258.0
season,46429,23193,30504023.0
innovation,50899,29551,30462055.0
investment,44231,25114,30437244.0
feel,54212,35157,30388446.0
dose,46472,21654,30371164.0
black,51222,21703,30334073.0
stay,50742,38224,30233905.0
assessment,39984,21873,30197854.0
del,44416,8838,30167683.0
observed,36014,15067,30006795.0
longer,43129,34313,29907637.0
pathogen,38058,17411,29893762.0
certain,46769,35107,29866184.0
knowledge,39834,25571,29822060.0
largest,44959,35055,29740594.0
february,39913,26938,29729100.0
priority,44307,27094,29719224.0
harm,42389,22581,29681483.0
infant,43719,16359,29643884.0
immune,43459,24378,29613609.0
private,46339,30781,29610479.0
relationship,39915,21652,29586608.0
sure,51440,38318,29563878.0
cigarette,40923,9745,29553141.0
bacteria,42429,17422,29519810.0
burden,39721,23537,29507485.0
diagnosis,42214,21911,29469252.0
interest,41618,27616,29429881.0
identify,41803,30721,29421297.0
investigation,41908,26567,29399641.0
travel,41041,23611,29378131.0
spreading,39091,27727,29344724.0
thousand,46629,36626,29275175.0
highlight,42277,32893,29266788.0
detection,39031,20065,29254871.0
link,40994,28749,29235061.0
video,44089,28456,29208222.0
ensuring,40447,30302,29207797.0
israel,54184,14030,29180803.0
developed,42948,31634,29122987.0
avian,35107,11913,29114508.0
reducing,42663,32331,29031060.0
outside,44035,34446,28989412.0
throughout,44277,35354,28977849.0
political,39229,25903,28928004.0
court,45244,20575,28843490.0
para,43021,7673,28723696.0
warning,44227,28498,28710446.0
award,49639,17540,28709410.0
started,47199,36312,28708505.0
please,48806,37864,28669972.0
leadership,41249,25450,28662024.0
late,43925,34180,28642633.0
addiction,44954,14075,28630923.0
nurse,39362,15396,28629532.0
beyond,42823,34798,28626415.0
vulnerable,39907,30172,28589093.0
matter,44481,34575,28582294.0
drive,42342,30463,28561166.0
infrastructure,38916,24152,28507020.0
