kind,dimension,value,credit,credit_share,rating,rating_pct
item,feed_name,mailboxfeed,0.01163518371677208,0.004924923567293277,3,1.0
item,feed_name,tveyes-podcast,0.008690836784853273,0.00367864469896807,3,0.0
item,feed_name,dowjones,0.006480451168020984,0.002743035903943087,2,1.0
item,feed_name,wapo,0.0025878679063203736,0.0010953889471042187,2,0.3061798437513284
item,feed_name,eclips-print,0.0008700876946579061,0.0003682894483956982,2,0.0
item,feed_name,importer,0.0006916578498676884,0.0002927639243380845,1,1.0
item,feed_name,sqs-feed,0.0001679852520379832,7.110455209460882e-05,1,0.22352428868830707
item,feed_name,__OTHER__,1.723546910181728e-05,7.295404184339257e-06,1,0.0
item,author_name,uncredited,0.6486986303079014,0.6486986303079014,5,1.0
item,author_name,__OTHER__,0.1496608368543584,0.1496608368543584,5,0.23061407826930316
item,author_name,Ebenezer Mensah,0.009569852292295776,0.009569852292295776,5,0.014630373833744582
item,author_name,Mike Stobbe,0.006052687969488436,0.006052687969488436,5,0.00920782518135807
item,author_name,Maria Cheng,0.003062991789673946,0.003062991789673946,5,0.0045984946232799076
item,author_name,Robin Millard,0.002099092347915685,0.002099092347915685,5,0.0031124134683424456
item,author_name,Brian Mann,0.0018261022072512247,0.0018261022072512247,5,0.002691533980348174
item,author_name,Meta Time,0.0016761568225090889,0.0016761568225090889,5,0.0024603573649445314
item,author_name,Carla K. Johnson,0.0015696234571805799,0.0015696234571805799,5,0.002296110743639329
item,author_name,The Associated Press,0.0015587243998753636,0.0015587243998753636,5,0.0022793072442635846
item,author_name,Amanda Seitz,0.0015179603205064944,0.0015179603205064944,5,0.002216459682034532
item,author_name,Gabrielle Emanuel,0.001442107972523783,0.001442107972523783,5,0.0020995151751581225
item,author_name,Lisa Schnirring,0.0012345067200068929,0.0012345067200068929,5,0.001779448272179112
item,author_name,Joseph Choi,0.0011258150106515834,0.0011258150106515834,5,0.0016118740481747638
item,author_name,Will Stone,0.0011013871144690496,0.0011013871144690496,5,0.001574212613175472
item,author_name,Jason Hall,0.001072268369854001,0.001072268369854001,5,0.0015293191152096202
item,author_name,Pien Huang,0.0010648801009537265,0.0010648801009537265,5,0.0015179283344863939
item,author_name,Alix Martichoux,0.0010530129821163417,0.0010530129821163417,5,0.0014996323370994964
item,author_name,Tribune News Service,0.0009631355663759859,0.0009631355663759859,5,0.0013610648392881227
item,author_name,Lisa Jarvis,0.0009396941826186298,0.0009396941826186298,5,0.0013249243487573681
item,author_name,Unknown,0.0009387094403183413,0.0009387094403183413,5,0.0013234061333590283
