row_index,tag_name,persons,has_person
92,public_health,"Joseph Ladapo, Justin Robert, Rachael Holohan, Gabriel Bowden",1
93,public_health,"Deep Cuts, Donald Trump, Robert Kennedy",1
94,public_health,Astrocyte,1
95,public_health,"Ctexli, Janet Maynard",1
96,public_health,"Maya Maguire, Millicent Eidson, Millie, Lesson, Faye Simpson",1
97,public_health,"Pedro, Raquel Yahyaoui, Galicia, Murcia",1
98,public_health,,0
99,public_health,"Fluid Delivery, Morgan May, Seth Brown, Ballad Ventures, Kyle Chenet, John Perez",1
100,public_health,"Liam, Ashley Malin, Rick Woychik",1
101,public_health,"Anthony Fauci, Lawrence O'donnell, Sizanani Award, Philip Lilienthal",1
102,public_health,"Overhaul, Richard Daynard, Mark Gottlieb, Harry Levant",1
103,public_health,"Amadou Sall, Naveen Rao, Gabriel Leung, Jockey Club, Vu Nguyen",1
104,public_health,"Donald Trump, Lee Zeldin, Elon Musk, Ben Jealous",1
105,public_health,"Marya Zlatnik, Tracey Woodruff, Philip Landrigan",1
106,public_health,"Hanan Balkhy, Al Awda",1
107,public_health,"Ed Gemert, Gsta Https, Product, Gary Https, Gen Clarke, Yong Wang, Photographs, Paolo Miotto, Ed., Wayne Gemert, Matteo Zignol, Dennis Falzon, Philippe Glaziou, Lucia Barrera, Carlos, Chiang Chen-Yuan, Frank Cobelens, Ted Cohen, Sian Floyd, Gopi, Susan Den, Timothy Holtz, Grace Kahenya, Michael Kimerling, Csaba, Sabine, Forschungszentrum Borstel, Charalambos Sismanidis, Norio Yamada, Samiha Baghdadi, Andrei Dadu, Laura Gillini, Reuben Granich, Yuhong Liu, Wilfred Nkhoma, Nicoletta Previsani, Andreas Reis, Haileyesus Getahun, Ernesto Jaramillo, Knut, Paul Nunn, Mukund Uplekar, Mario Raviglione, Michael Selgelid, Alice Italia, Abigail Wright, Edward Release, Chris Curnow, Joann Greenwood, Clerk, Glazier, Glass, Jeweller, Blacksmith, Miriam, Hebrews, David, Solomon, Jacob, Greeks, Plato, Pope I., Guido Aretine, Arezzo, Franco, John Murs, Jean Mouton, Francis I., Luther, Pope Vitelianus, Kent",1
108,public_health,"Barbara Ferrer, Donald Trump",1
109,public_health,"Ivermectin, Ron Desantis",1
110,public_health,"John Granton, Joan Paulin",1
111,public_health,"David Berthold, Jenny Devolder, Ben Walker",1
112,public_health,"Stephen Beech, Brett Sayles, Yvonne Michael",1
113,public_health,Obese,1
114,public_health,"Tedros Ghebreyesus, K. Gopakumar, Michelle Childs, Margaret Harris, Tsegab Daka, Amanda Gorely",1
115,public_health,"Leukotriene Antagonists, Rest, David Correa",1
